Change component parameters: Designator = "C4" ("C4"); Footprint = "0603C"; UniqueID = "\PWOTTEYZ" ("\PWOTTEYZ")
Change component parameters: Designator = "T1" ("T1"); Footprint = "EE16_transformer"; UniqueID = "\KNMGOAOV" ("\KNMGOAOV")
Change component parameters (AddParameter): Name = "Current (A)"; Value = "10000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "HV_trans"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "0"; VariantName = "[No Variations]"
Change component parameters: Designator = "VD1" ("VD1"); Footprint = "mini_MELF_3.5mm"; UniqueID = "\CJWCSCHR" ("\CJWCSCHR")
Change component parameters (AddParameter): Name = "Accuracy"; Value = "0,02"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current nominal (mA)"; Value = "5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "BZV55-B12"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power (W)"; Value = "0.5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "12 В"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage nominal (V)"; Value = "12"; VariantName = "[No Variations]"
Change component parameters: Designator = "VS1" ("VS1"); Footprint = "DPAK"; UniqueID = "\MXFPYGXE" ("\MXFPYGXE")
Change component parameters (AddParameter): Name = "Part Number"; Value = "TS820-600B-TR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Напряжение"; Value = "600 В"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ток макс#"; Value = "8 А"; VariantName = "[No Variations]"
Change component parameters: Designator = "XP3" ("XP3"); Footprint = "PLH4_type18"; UniqueID = "\DNQRBPGS" ("\DNQRBPGS")
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://static.chipdip.ru/lib/530/DOC059530234.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "PLH-4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "System"; Value = "Connector"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value1"; Value = "+300В"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value2"; Value = "+300В"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value3"; Value = "GND_HV"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value4"; Value = "GND_HV"; VariantName = "[No Variations]"
Change component parameters: Designator = "XP4" ("XP4"); Footprint = "9774030151"; UniqueID = "\OUASWOIL" ("\OUASWOIL")
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://aliexpress.ru/item/1005005620368789.html?sku_id=12000033777723210&srcSns=sns_More&businessType=ProductDetail&spreadType=socialShare&tt=MG&utm_medium=sharing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "SMT_spacer_nut"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value1"; Value = "GND_HV"; VariantName = "[No Variations]"
Change component parameters: Designator = "XP5" ("XP5"); Footprint = "MPW-3"; UniqueID = "\AVTRMWMB" ("\AVTRMWMB")
Change component parameters (AddParameter): Name = "Part Number"; Value = "MPW-3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "System"; Value = "Connector"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value1"; Value = "Поджиг, 13кВ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value2"; Value = "+300В"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value3"; Value = "GND_HV"; VariantName = "[No Variations]"
Added Class: Name=high_voltage
